AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.07,-0.03,0.95,-6.62,12.64,18.76,Noise
-0.06,-0.12,1.14,-5.59,12.96,18.94,Noise
-0.05,-0.02,0.94,-6.29,14.36,19.71,Noise
-0.04,-0.04,0.94,-5.87,12.65,19.35,Noise
-0.11,-0.16,1.13,-6.84,11.2,18.97,Noise
0.75,-0.17,1.19,-5.98,5.97,19.04,Noise
1.01,-0.05,0.49,-8.16,4.1,11.46,Noise
-3.57,-0.29,1.68,-6.02,11.4,13.51,VibracaoX
-0.73,-0.19,0.4,-1.9,-3.03,21.84,VibracaoX
4.74,-0.28,0.26,-0.77,1.04,24.76,VibracaoX
-0.98,-0.46,0.75,-7.64,13.05,13.61,VibracaoX
-4.48,0.26,1.37,2.04,9.65,21.98,VibracaoX
4.9,-0.24,-1.1,3.03,-6.0,32.72,VibracaoX
1.77,-0.99,-0.71,-3.8,9.52,15.18,VibracaoX
-5.97,-0.04,2.44,1.34,7.87,19.8,VibracaoX
2.71,-0.77,-0.93,7.0,-8.6,31.59,VibracaoX
2.35,-1.07,-0.65,0.66,0.97,14.97,VibracaoX
-5.46,0.05,2.55,3.36,-0.81,17.66,VibracaoX
3.68,-0.97,-0.3,7.24,-11.44,34.02,VibracaoX
2.23,-0.94,-0.54,-1.23,-4.19,15.88,VibracaoX
-5.58,0.65,2.78,5.82,-0.52,17.47,VibracaoX
2.95,-1.43,0.11,12.12,-17.54,30.4,VibracaoX
2.09,-1.04,-0.42,3.68,-6.71,12.98,VibracaoX
-5.93,0.72,2.46,8.14,-1.2,13.69,VibracaoX
2.72,-1.52,0.38,9.52,-21.36,24.62,VibracaoX
3.03,-0.83,-1.02,2.47,-4.85,5.47,VibracaoX
-7.79,0.63,2.0,4.42,-5.69,5.99,VibracaoX
2.23,-1.97,0.38,7.7,-32.42,21.04,VibracaoX
4.35,-1.41,-0.78,1.88,-11.68,2.63,VibracaoX
-7.73,0.65,2.03,2.36,-20.14,3.02,VibracaoX
3.0,-2.17,-0.01,3.6,-46.0,17.3,VibracaoX
3.59,-1.26,-1.08,-4.45,-26.91,-2.81,VibracaoX
-7.84,0.61,1.67,0.58,-29.35,-0.15,VibracaoX
2.3,-2.59,0.68,6.01,-64.13,13.71,VibracaoX
5.02,-1.45,-2.24,-0.87,-41.45,-7.71,VibracaoX
-8.12,0.03,2.68,1.53,-48.79,-7.97,VibracaoX
2.62,-2.18,-0.04,6.78,-73.88,8.68,VibracaoX
3.59,-1.39,-1.09,-1.54,-53.6,-9.53,VibracaoX
-7.98,0.34,2.76,3.37,-57.35,-5.52,VibracaoX
4.65,-2.26,-0.24,7.17,-80.02,14.47,VibracaoX
2.67,-1.18,-1.45,-3.84,-60.97,-9.2,VibracaoX
-7.63,0.32,2.33,6.45,-60.53,-3.24,VibracaoX
4.84,-1.25,-1.32,11.47,-88.39,14.76,VibracaoX
2.21,-1.19,-1.43,2.04,-58.08,-9.45,VibracaoX
-7.66,0.44,1.69,8.22,-75.23,-3.32,VibracaoX
7.99,-0.65,-2.66,13.83,-91.45,12.63,VibracaoX
-1.48,-1.19,-0.58,3.46,-63.69,-12.95,VibracaoX
-6.27,0.12,1.66,11.45,-77.04,-2.94,VibracaoX
9.55,-0.24,-2.95,13.07,-72.0,7.95,VibracaoX
-4.09,-1.43,0.23,1.1,-44.6,-20.03,VibracaoX
-4.36,-0.11,0.47,12.47,-57.29,-8.01,VibracaoX
8.79,-0.33,-2.06,10.08,-49.19,-2.87,VibracaoX
-6.33,-1.01,2.1,-4.35,-35.98,-19.37,VibracaoX
-2.88,-0.33,0.4,2.49,-49.62,-5.37,VibracaoX
8.2,-1.17,-0.76,-2.14,-29.6,-10.72,VibracaoX
-6.51,-0.21,1.9,-14.91,-23.38,-20.58,VibracaoX
-0.41,-0.89,-0.03,-8.43,-37.92,-4.75,VibracaoX
3.94,-0.81,-0.19,-15.3,-20.02,-13.99,VibracaoX
-3.72,0.23,2.18,-21.82,-31.11,-15.3,VibracaoX
1.01,-0.24,0.37,-20.78,-36.62,-8.35,VibracaoX
