AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.45,-0.37,0.76,-26.18,27.15,-8.4,Parado
-0.45,-0.38,0.78,-26.19,27.16,-8.39,Parado
-0.45,-0.37,0.77,-26.18,27.2,-8.39,Parado
-0.46,-0.38,0.77,-26.17,27.24,-8.38,Parado
-0.45,-0.37,0.79,-26.18,27.29,-8.4,Parado
-0.45,-0.38,0.78,-26.16,27.32,-8.38,Parado
-0.45,-0.37,0.77,-26.17,27.35,-8.38,Parado
-0.45,-0.38,0.78,-26.18,27.37,-8.37,Parado
-0.45,-0.37,0.76,-26.17,27.39,-8.36,Parado
-0.45,-0.38,0.76,-26.19,27.43,-8.35,Parado
-0.44,-0.37,0.77,-26.18,27.45,-8.33,Parado
-0.45,-0.37,0.78,-26.16,27.48,-8.32,Parado
-0.45,-0.38,0.77,-26.18,27.51,-8.32,Parado
-0.45,-0.38,0.78,-26.18,27.53,-8.31,Parado
-0.44,-0.37,0.78,-26.18,27.54,-8.3,Parado
-0.45,-0.37,0.77,-26.19,27.57,-8.29,Parado
-0.45,-0.38,0.78,-26.19,27.57,-8.28,Parado
-0.45,-0.37,0.78,-26.19,27.59,-8.28,Parado
