AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.17,-0.08,0.91,-1.56,-4.25,1.8,Parado
0.15,-0.04,0.67,-3.27,-1.23,2.68,Parado
0.18,-0.15,0.87,-3.15,-1.45,2.68,Parado
0.15,-0.11,0.97,-3.23,-1.62,2.89,Parado
0.14,-0.1,0.97,-3.42,-1.77,2.84,Parado
0.12,-0.08,0.94,-3.35,-1.52,2.54,Parado
0.12,-0.15,0.97,-3.44,-1.55,1.58,Parado
0.15,-0.1,0.98,-3.52,-1.67,1.45,Parado
0.14,-0.08,0.97,-3.68,-1.78,1.23,Parado
0.14,-0.09,0.96,-3.81,-1.85,1.1,Parado
0.15,-0.09,0.94,-3.92,-1.96,0.96,Parado
0.14,-0.08,0.97,-4.04,-2.05,0.81,Parado
0.14,-0.09,0.97,-4.13,-2.15,0.78,Parado
0.15,-0.08,0.94,-4.21,-2.24,0.72,Parado
0.13,-0.09,0.95,-4.19,-2.32,0.65,Parado
0.14,-0.08,0.96,-4.23,-2.42,0.65,Parado
0.14,-0.09,0.95,-4.27,-2.5,0.58,Parado
0.15,-0.09,0.97,-4.32,-2.58,0.59,Parado
0.15,-0.08,0.96,-4.32,-2.67,0.64,Parado
0.13,-0.09,0.96,-4.39,-2.75,0.6,Parado
0.15,-0.09,0.96,-4.34,-2.84,0.57,Parado
0.14,-0.08,0.96,-4.42,-2.94,0.4,Parado
0.15,-0.09,0.94,-4.53,-3.02,-0.03,Parado
0.12,-0.08,0.95,-4.62,-3.13,-0.21,Parado
0.14,-0.1,0.97,-4.71,-3.25,-0.22,Parado
0.16,-0.08,0.95,-4.84,-3.36,-0.18,Parado
0.14,-0.08,0.96,-4.97,-3.44,-0.2,Parado
0.15,-0.08,0.97,-5.04,-3.5,-0.2,Parado
0.13,-0.07,0.96,-5.14,-3.6,-0.21,Parado
0.15,-0.09,0.95,-5.38,-3.67,-0.65,Parado
0.13,-0.09,0.94,-5.39,-3.67,-0.69,Parado
0.14,-0.09,0.96,-5.4,-3.71,-0.73,Parado
0.12,-0.07,0.97,-5.45,-3.77,-0.73,Parado
0.11,0.06,0.93,-5.0,-3.81,0.1,Parado
0.16,-0.23,0.97,-5.24,-3.96,0.65,Parado
0.12,-0.06,1.0,-5.33,-3.96,0.65,Parado
0.14,-0.06,0.91,-5.63,-3.96,-0.08,Parado
0.13,-0.02,0.94,-5.56,-4.02,0.03,Parado
0.18,-0.19,0.93,-5.69,-4.12,0.02,Parado
0.13,-0.08,0.97,-5.71,-4.15,0.01,Parado
0.14,-0.08,0.94,-5.78,-4.23,0.05,Parado
0.15,-0.08,0.95,-5.79,-4.31,0.04,Parado
0.14,-0.07,0.97,-5.87,-4.4,-0.11,Parado
0.13,-0.1,0.93,-6.04,-4.4,-0.21,Parado
0.15,-0.07,0.95,-6.12,-4.47,-0.19,Parado
0.13,-0.08,0.96,-6.1,-4.53,-0.26,Parado
0.15,-0.08,0.96,-6.13,-4.56,-0.27,Parado
0.13,-0.1,0.98,-6.2,-4.61,-0.21,Parado
0.14,-0.09,0.97,-6.33,-4.73,-0.2,Parado
0.14,-0.08,0.95,-6.37,-4.76,-0.19,Parado
0.15,-0.08,0.98,-6.37,-4.84,-0.14,Parado
0.13,-0.08,0.96,-6.44,-4.86,-0.14,Parado
0.15,-0.09,0.96,-6.49,-4.92,-0.11,Parado
0.15,-0.09,0.98,-6.51,-4.99,-0.14,Parado
0.13,-0.07,0.96,-6.49,-5.02,-0.1,Parado
0.13,-0.08,0.96,-6.52,-5.06,-0.1,Parado
0.13,-0.09,0.97,-6.56,-5.08,-0.09,Parado
0.12,-0.07,0.94,-6.54,-5.11,-0.11,Parado
0.14,-0.07,0.96,-6.49,-5.14,-0.06,Parado
0.14,-0.08,0.96,-6.53,-5.17,-0.06,Parado
0.13,-0.08,0.95,-6.55,-5.22,-0.05,Parado
0.14,-0.07,0.96,-6.59,-5.25,-0.04,Parado
0.13,-0.08,0.95,-6.6,-5.28,-0.02,Parado
0.14,-0.08,0.96,-6.65,-5.36,-0.02,Parado
0.14,-0.07,0.95,-6.62,-5.42,0.01,Parado
0.15,-0.07,0.97,-6.61,-5.51,0.0,Parado
0.13,-0.08,0.97,-6.62,-5.51,0.03,Parado
